# names phi theta dt Tspan wn log10_A_dm log10_A_red log10_A_sv g_dm g_red g_sv
J0023+0923 0.101229 1.40674 149575 10.7307 2.32619 -15.5174 -43.8134 -45.3076 3.67935 1.47167 3.1279
J0030+0451 0.132645 1.48528 306928 10.4366 2.46745 -15.4458 -43.211 -42.6338 4.87097 2.92398 2.58949
J0340+4130 0.961676 0.846485 296059 9.81717 1.23999 -44.528 -43.4258 -44.2147 2.91788 3.22345 3.79584
J0406+3039 1.07512 1.03498 144314 10.652 1.1998 -44.178 -42.8456 -44.4799 3.7162 3.28679 1.53377
J0437-4715 1.20951 2.39634 768624 9.90011 1.74642 -14.3091 -44.253 -45.6843 1.68694 1.56131 4.3965
J0509+0856 1.34914 1.41546 107580 9.92896 4.9013 -14.1445 -14.6312 -44.9465 4.93564 2.40439 3.05612
J0557+1551 1.56032 1.29503 100818 10.4196 1.73645 -12.8945 -44.0513 -12.8426 4.62934 3.89251 0.67639
J0605+3757 1.59349 0.907571 256515 9.77355 6.90011 -15.9317 -44.5972 -42.6729 2.59942 4.0185 2.1239
J0610-2100 1.61617 1.93732 200342 9.73485 0.619915 -14.6938 -15.8062 -43.6597 2.96751 4.64285 3.55376
J0613-0200 1.63014 1.6057 445665 10.3018 2.31537 -15.831 -43.9506 -45.0237 4.37611 2.57971 3.74242
J0636+5128 1.72788 0.671952 161915 10.214 1.64801 -15.8078 -13.5897 -43.2927 3.48489 1.80674 2.72726
J0645+5158 1.77151 0.663225 161042 9.94894 3.17748 -44.6979 -43.9866 -14.876 4.13351 2.20296 2.65803
J0709+0458 1.87274 1.48353 122078 9.98066 0.953576 -44.5807 -14.4975 -43.5129 2.70946 1.25016 2.07182
J0740+6620 2.01062 0.413643 321314 9.93774 5.63939 -15.6438 -43.3457 -42.765 2.44168 1.1946 4.16208
J0931-1902 2.49233 1.90241 401274 10.2216 2.04869 -44.725 -45.3609 -43.629 1.41457 3.39876 1.13754
J1012+5307 2.6721 0.644026 223677 9.81108 2.59685 -14.6425 -15.1023 -45.126 4.48873 2.47955 4.10038
J1012-4235 2.6721 2.31431 519069 10.1131 2.9095 -14.6461 -14.6703 -43.0965 2.9556 0.480087 3.61355
J1022+1001 2.71748 1.39626 604932 9.74499 10.388 -12.8597 -44.5063 -42.7559 2.58852 1.38474 2.49119
J1024-0719 2.7262 1.69821 184352 10.1715 1.28422 -42.9075 -44.6693 -14.2155 3.28178 1.66985 4.40039
J1125+7819 2.99324 0.204204 731060 9.77371 9.02107 -15.3808 -15.5157 -42.6777 0.889811 1.47425 2.02917
J1312+0051 3.45924 1.55509 122195 9.96271 0.952879 -44.8365 -45.1889 -42.6955 3.46441 3.30808 2.42785
J1453+1902 3.89907 1.23918 268458 9.81517 1.60116 -13.1077 -15.7523 -45.8648 0.797469 4.05983 4.03472
J1455-3330 3.90779 2.15548 193990 9.88735 2.75695 -13.1033 -44.3778 -43.7326 4.91213 3.9797 1.69226
J1600-3053 4.19228 2.1101 285507 9.53981 1.97936 -12.9628 -42.5823 -43.8864 3.80316 2.82486 2.21304
J1614-2230 4.25337 1.9635 308191 10.2798 0.507467 -15.7118 -45.9434 -44.7055 4.35564 1.49646 0.849984
J1630+3734 4.32318 0.914553 437467 10.1893 1.4963 -14.5227 -44.2295 -45.6425 2.91691 3.98277 2.95899
J1640+2224 4.36507 1.17984 397942 9.71537 5.99122 -12.8447 -14.5067 -44.7198 2.04306 1.06137 3.63079
J1643-1224 4.37903 1.78722 418525 10.1284 0.374027 -42.8068 -43.2501 -44.2111 1.97222 2.45895 2.48311
J1705-1903 4.47502 1.90415 114826 10.0598 3.56831 -13.6292 -45.6562 -42.9163 3.87833 2.18476 4.31536
J1713+0747 4.51168 1.43466 336712 9.83414 1.26809 -13.8321 -44.1428 -44.2051 4.11362 2.65106 0.504137
J1719-1438 4.53437 1.82561 822875 10.1341 1.76075 -45.3772 -15.8089 -45.3072 0.948906 4.00632 0.950224
